state,x,y
Andhra Pradesh,-93.0, -118.0
Arunachal Pradesh,162.0, 130.0
Assam,132.0, 86.0
Bihar,40.0, 74.0
Chhattisgarh,-29.0, -7.0
Goa,-165.0, -113.0
Gujarat,-215.0, 39.0
Haryana,-121.0, 141.0
Himachal Pradesh,-102.0, 189.0
Jharkhand,21.0, 35.0
Karnataka,-135.0, -155.0
Kerala,-128.0, -217.0
Madhya Pradesh,-121.0, 24.0
Maharashtra,-142.0, -28.0
Manipur,180.0, 62.0
Meghalaya,124.0, 71.0
Mizoram,170.0, 28.0
Nagaland,190.0, 87.0
Odisha,10.0, -23.0
Punjab,-126.0, 165.0
Rajasthan,-183.0, 91.0
Sikkim,82.0, 108.0
Tamil Nadu,-101.0, -198.0
Telangana,-81.0, -83.0
Tripura, 130.0, 40.0
Uttar Pradesh,-73.0, 101.0
Uttarakhand,-65.0, 152.0
West Bengal,64.0, 25.0
